subjectID,l_fit,beta,tau,condition,NLL,AIC
kj0ua3s9,10.902535359465254,0.43140229570718247,0.07048715932991279,0,783.4673251773345,1576.934650354669
uo88gv0w,7.433092283424969,0.32265101990782125,0.05834312698956913,0,653.9114294112187,1317.8228588224374
eff2w6hq,11.566591292124917,0.006737946999085467,0.06356666811549963,0,791.1134432065508,1592.2268864131015
yypl9xs7,0.9678386806531851,0.14444156330432742,0.07998095104146791,0,927.8131853818841,1865.6263707637681
135qwtdy,0.6210354555497244,0.40570871380439777,0.07811568605865438,0,826.3422640297956,1662.6845280595912
x4o058lj,7.322910719559851,0.8350927344793468,0.07149710939623666,0,785.6020093094289,1581.2040186188578
o52cwpzh,1.1098301864355915,0.142424430163047,0.05292788758848396,0,635.2812633923497,1280.5625267846995
rkl43lw9,0.8420272241170359,0.39900585009829104,0.07867957346041457,0,687.2967372026615,1384.593474405323
wmt9nsnd,16.522353041112236,1.2359159251139156,0.07123306965293177,0,717.9652605071547,1445.9305210143093
sck3cnjx,18.91047360235768,1.150460403193813,0.06195741306852497,0,692.7465088923336,1395.4930177846672
73pnjtbl,13.844573006148476,0.006737946999085467,0.05076899227242136,0,665.4300766253165,1340.860153250633
nn1o0o34,11.20212648171811,1.0130923843937003,0.06447048137353072,0,784.7419685436541,1579.4839370873083
s9szsy6w,0.7249340719054296,0.3113834078338821,0.05727085265371704,0,615.8599447073917,1241.7198894147834
a8qpexum,12.42484372850417,0.5829039063791718,0.07990456764784186,0,832.16269163312,1674.32538326624
momcdeje,0.6456379386526214,0.3242735389149005,0.05238919448710071,0,552.9688299863847,1115.9376599727693
23odf2ue,0.8608212883146514,0.36885576361041006,0.07042416881758444,0,661.6197315531931,1333.2394631063862
0p415lx3,14.15065458097408,1.1715428702524409,0.06641117190514575,0,799.5700610545318,1609.1401221090637
ly335abk,0.5023052127406449,0.8323725634994392,0.1955306245957915,0,818.1059243780605,1646.211848756121
yglpr1l4,1.284160929583254,0.14848540361374152,0.03367997269189917,0,511.9512021861693,1033.9024043723387
fe7wg6b7,0.2549263903222463,0.5378257140917956,0.11361575204407136,0,752.0416554943895,1514.083310988779
kpel97ec,3.493862406435628,0.006737946999085467,0.04897757436108988,0,718.7577863685527,1447.5155727371055
87v9658u,0.33797599774624837,0.4041559842808452,0.05557754519777591,0,393.58189521644607,797.1637904328921
69pm4uqh,0.713715561493085,0.3899586546362486,0.07999183169389468,0,708.0115177397824,1426.023035479565
yyeygp1e,0.49539946188997613,0.5645829046341244,0.11324469993204973,0,689.406406396138,1388.812812792276
vqy4jw7v,13.190623158476788,1.1143730505024299,0.06262160946597052,0,817.6700677386743,1645.3401354773487
nm9h4e9g,1.3128450112233803,0.006737946999085467,0.033205997945523626,0,517.3657960688096,1044.7315921376191
0v6umdqx,1.836645413631131,0.260555064958555,0.06266365459247364,0,637.8982364768441,1285.7964729536882
1djww6qm,12.845917236035454,1.0785146819574292,0.0814136344989207,0,808.376157512362,1626.752315024724
s0uavzu4,11.191626254154986,1.0631787106405142,0.06499128564558959,0,832.4053122342117,1674.8106244684234
9urfx3x5,7.996419052851127,0.39156583262118705,0.05669520113209986,0,613.4407550833865,1236.881510166773
wtm8kuhe,0.8397346901041507,0.3651388529069619,0.07007221544198002,0,619.4532345560369,1248.9064691120739
b815efyf,0.7086100834259174,0.40080678312946383,0.0713767661626034,0,608.7422595362295,1227.484519072459
b2jkxysa,0.85653895733657,0.4320999158021144,0.08019275020352984,0,676.5894706521713,1363.1789413043425
0pzmq854,0.6238246224285121,0.5314184825561222,0.10689353112718442,0,706.1750424797715,1422.350084959543
9lh648dn,10.108285995922769,0.24555863636397074,0.06485452002577405,0,684.6028620452277,1379.2057240904553
jb7pft02,1.5328219314517768,0.006737946999085467,0.04571097965160424,0,500.884216029085,1011.76843205817
alxj0qfx,0.7389328227071048,0.464857131125464,0.088486361724357,0,646.1358728807296,1302.2717457614592
a1826std,0.6382898841762368,0.3852428100296664,0.06593297655349785,0,563.3926789467139,1136.7853578934278
yayhmfjn,0.7072389535531302,0.18452951499513776,0.048128851281480284,0,569.0618959042561,1148.1237918085121
6tatjtst,5.873048973000604,0.006737946999085467,0.05584785592936861,0,557.0453531233263,1124.0907062466526
tzz21om7,4.024338941500158,0.006737946999085467,0.0492887056434753,0,509.9878625597926,1029.9757251195851
lc9nwnt6,15.77657867089702,0.8863764912905409,0.06257755733763277,0,723.3153009042967,1456.6306018085934
yqvyh6vn,0.7217409840683453,0.41932795978190796,0.0764848614585262,0,628.9618711489704,1267.9237422979409
nzv6jwhs,0.6970706829865563,0.3550857621399841,0.06619582230280556,0,661.3734225379765,1332.746845075953
t18afl5a,0.7596021351785426,0.3631624713531909,0.07100970990512065,0,727.1916253532415,1464.383250706483
