subjectID, l_fit, beta, tau, phi, NLL
t1cuv6ul,3.7532460692143887,0.006737946999085644,0.024233789617255794,0.023761139056796436,1521.377877185526
x3suumw2,1.4847977870620839,0.5044060253641943,0.05671476297848964,0.080483333801986,1965.19726427406
13b88a7t,17.06021419879341,0.006737946999085611,0.02350013817322455,0.018964294570159086,1838.8411540626973
0lvykqjq,0.3672444967420656,0.006737946999085467,0.02693556427474207,0.033706496332673024,1049.0902520891457
b95mng52,3.5626343589999783,0.006737946999085551,0.020508204150968788,0.028478053125099215,1175.1194615510485
eyjl6nlh,0.6471920921369319,0.006737946999085467,0.03136989860224425,0.05265361502628991,1179.049473763702
wy58v2u3,2.725193383575645,0.006737946999085467,0.015348374746525789,0.022762349102526426,502.6839639703898
3lreml0m,0.3138939485603171,0.24551127872323772,0.02881258874335601,0.024560033272024835,1669.34881789433
jwdsedgu,1.462047978526837,1.0468219214897765,0.10708938490808528,0.12327326706097413,2208.4473281941573
je972k7f,1.0623044524864453,1.0414658048531797,0.1307611573750831,0.16802098877979332,2159.087175577904
3kzm2l3d,4.329981666791603,0.006737946999085644,0.013703700096862916,0.01668273263642013,957.349666482998
telhn8yv,5.438368860915844,0.006737946999085814,0.015648230679733165,0.022770963780348118,922.6169483585929
tvfjsmy7,6.300176716972787,0.006737946999085467,0.03356531770336898,0.042317412732713056,1469.7899088622667
zt8zaosl,13.89911292075416,0.006737946999085467,0.01658903169049456,0.02086011587272358,1237.5060597698352
5arrkqh8,2.4821022388117666,0.006737946999085467,0.02659339595392409,0.015170729054780634,1355.4097052660602
vo0jdo2s,10.806666996497599,0.006737946999086889,0.02040858739608499,0.02631946906210426,1624.064617421875
u5czu3x2,12.247115517568183,0.00673794699908728,0.029321416292818592,0.04426845979325626,1360.850068090653
hsac5l5n,6.591213920332901,0.006737946999085479,0.02387982303157299,0.027478333832229935,1365.779162773854
xq1002d0,0.4719910140151342,0.08645953636174883,0.017475393088818646,0.02426310807303356,769.2380948519583
ho4clsx6,8.8533210328578,0.0067379469990854705,0.023099938405772624,0.03547528303617293,811.1333244509341
891hh3ok,0.8471620900790386,0.013816960834513229,0.030838390645141135,0.043810529668100215,1336.7071245426387
sjogef5y,6.600198500271727,0.006737946999090291,0.02070280733144394,0.023492931859301795,1315.8903283925692
r4pendb6,4.95337124952847,0.006737946999085467,0.07237764205301334,0.0965421146673986,2127.406062313293
oxycjd7q,2.2458339105782086,0.12754997307964147,0.02553939150532354,0.022197209194315042,1320.1565552690106
kkmo4vcy,3.8554021300636783,0.0067379469990854965,0.022364225509415015,0.023046001287743777,1315.7016957509286
49te4nmn,0.6442573910680615,0.006737946999085467,0.03512612385585112,0.06046807440079662,1117.48403444459
o4ft3bcn,13.853001359925358,0.006737946999085473,0.030988768079347556,0.03369072336954518,1493.4880688844735
px4hz1np,0.29497387602100333,0.0328022728753461,0.021667057580872583,0.020541998895018693,1272.0395549137445
227kvvc9,2.008315186370242,0.25826593295325595,0.033577690573534824,0.04914489226176053,1482.188182055835
09xteqjn,0.6582411639613615,0.08417433435578825,0.019857763308426306,0.02148609850737656,1053.7350041116815
0u4udut6,1.699556755890152,0.24818622293084697,0.039456172873623276,0.0627081656898463,1474.330873810612
1qchwhpj,0.2832515955921776,0.2843527249965838,0.04710491228749915,0.05740095417316985,2080.480086458047
