"","X","subjectID","l_fit","beta","tau","phi","block_nr","trial_nr","initial_opened","selected_choice","reward","average_reward","initial_opened_value","selected_choice_value","type","rewarded","trial_nr_c","block_nr_c","animal_opened","animal","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"20037",20037,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,2,302,233,70.4808813276941,60.079894014421,"owl","leech","sell",TRUE,-8,9.5,"owl","leech",71.7306460897427,0,0,FALSE,TRUE,-1.3314272460025,0,0,0.873368181869625,1.34723971626933,34.9053106644044
"20038",20038,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,3,302,233,71.0629747342331,62.2765101583834,"owl","leech","sell",TRUE,-7,9.5,"owl","leech",70.4808813276941,0,0,FALSE,TRUE,-0.970878522025556,0,0,0.873368181869625,1.26830788831531,33.6555459023559
"20039",20039,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,4,302,233,68.6898697725519,63.3454034274115,"owl","leech","sell",TRUE,-6,9.5,"owl","leech",71.0629747342331,0,0,FALSE,TRUE,-0.691215204793625,0,0,0.873368181869625,1.30507136414159,34.2376393088948
"20040",20040,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,5,302,233,69.5119237540921,64.2263349026516,"owl","leech","sell",TRUE,-5,9.5,"owl","leech",68.6898697725519,0,0,FALSE,TRUE,-0.46271363674208,0,0,0.873368181869625,1.15519234831367,31.8645343472136
"20041",20041,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,6,302,233,69.6261516619055,64.9013119975583,"owl","leech","sell",TRUE,-4,9.5,"owl","leech",69.5119237540921,0,0,FALSE,TRUE,-0.269518313730731,0,0,0.873368181869625,1.20711109767374,32.6865883287539
"20042",20042,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,7,302,233,70.3500547429804,65.5067278581608,"owl","leech","sell",TRUE,-3,9.5,"owl","leech",69.6261516619055,0,0,FALSE,TRUE,-0.102164912765138,0,0,0.873368181869625,1.21432542939509,32.8008162365672
"20043",20043,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,8,302,233,70.0287876786329,65.958933840208,"owl","leech","sell",TRUE,-2,9.5,"owl","leech",70.3500547429804,0,0,FALSE,TRUE,0.0454512485413952,0,0,0.873368181869625,1.26004522818117,33.5247193176421
"20044",20044,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,9,302,233,68.5310094721206,66.1927588976546,"owl","leech","sell",TRUE,-1,9.5,"owl","leech",70.0287876786329,0,0,FALSE,TRUE,0.177498404466793,0,0,0.873368181869625,1.23975485240773,33.2034522532947
"20045",20045,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,10,302,233,70.3254225967163,66.5371475392431,"owl","leech","sell",TRUE,0,9.5,"owl","leech",68.5310094721206,0,0,FALSE,TRUE,0.296949586869625,0,0,0.873368181869625,1.14515915304113,31.7056740467823
"20046",20046,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,11,302,233,69.999055804939,66.8034481750658,"owl","leech","sell",TRUE,1,9.5,"owl","leech",70.3254225967163,0,0,FALSE,TRUE,0.405999972518338,0,0,0.873368181869625,1.25848952714839,33.500087171378
