subjectID,l_fit,beta,tau,phi,NLL
3zy8k7oh,10.897032518804503,0.006737946999085467,0.03138891369114549,0.032376896014444705,613.4936487317921
araqn644,5.448284648927989,0.0067379469990854705,0.027460698492522122,0.026875340144212553,768.0120790188538
3hfyjwzt,1.5971037299826896,0.006737946999085467,0.04498830639895361,0.03409731885716727,1089.1068854411794
3tfwxrwx,10.494299995283871,0.006737946999085467,0.6586924888047682,0.8840902842082876,1094.12994296699
vqspl1ff,5.251383874337805,0.006737946999085467,0.0334467107195514,0.047549074029982555,621.2922909666502
uo65uyqg,0.8486124252677643,0.18437134688539497,0.021873525956367015,0.02284528395866836,961.0613528071405
q7lmjhfx,10.578414119551432,0.006737946999085467,0.8496529808149016,1.206692605983601,1066.9115579245836
mu0qm1l4,1.2344316825971535,0.006737946999085467,0.031101159915210362,0.04112659430871407,858.7356197497497
0e8cp3ts,7.813587285832114,0.006737946999085467,0.04753063214899493,0.05009646515151456,999.4884856277541
qnvv8yqa,11.330693235660725,0.006737946999085467,0.05507369349452711,0.058859376263697104,1059.0557844384707
ww3mrcvc,10.064837346578958,0.006737946999085467,0.4518805323545072,0.6775649878358159,1036.7844993359035
4rymdpy9,2.1637936273953073,0.20211619855796528,0.03617051570147073,0.042289198035267865,841.2512650839237
0kw6wclk,9.726596286344574,0.006737946999085467,0.032907025643631585,0.03941852843242348,666.0472196413521
qkprp7u8,1.6974037586060495,0.9187725793154948,0.09173352683156971,0.11002352693250159,1087.044872774115
po8p7b2t,1.7567717512756258,0.23107542079628612,0.03604581366382055,0.0420878571571716,931.9539863146795
ovbum0qq,1.554666969507248,0.8163495402675447,0.06953614070233233,0.04645956773159699,1136.8721502128435
uex0utrw,7.428876675825418,0.006737946999085467,0.03615774731131351,0.05072499468880454,629.4207089167512
lc9nwnt6,8.967394759059303,0.006737946999085473,0.03501846993908934,0.044704280360412,887.4768120118498
nuy037dr,0.7572797709298066,0.006737946999085473,0.028080965275219947,0.0403177458748249,844.4835313144139
h4g65ryu,0.7769157709498975,0.006737946999085562,0.04239031068435589,0.05534130077020642,907.3803301858212
