"","X","subjectID","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","bonus","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"19",19,"o3y9yzef",1.24285714285714,1.59047619047619,92,92,116,60.7227272727274,0.743127272727277,210,0.535300447551271,-0.173741318686105,-0.0770501764232449,-0.101003317942314,-1.53078764075697
"20",20,"6gzo3kny",0.757142857142857,0.795238095238095,163,163,46,63.9545454545455,0.846545454545456,210,1.06875610157978,-0.383142817513116,-0.244622027319673,-0.31176075445741,-1.53244354691478
"21",21,"u4h0rknc",1.57142857142857,1.52380952380952,106,106,101,54.4363636363638,0.541963636363642,210,0.906392506322532,-0.293616077923258,-0.123587367666195,-0.162348533835393,-1.00456386480783
"22",22,"3tyq8bzq",4.66190476190476,2.41428571428571,2,2,197,36.6772727272728,0,210,-0.172641922183983,0.054085128694041,0.0065217717752582,0.0357431085762748,-0.837926034338055
"23",23,"97ocjb6n",2.32380952380952,1.86190476190476,7,7,200,47.6045454545453,0.32334545454545,210,0.116463843880955,-0.105986086476364,-0.0116230780650818,-0.0382564490990282,-0.834264018996103
"24",24,"0a6a9q2l",1.97142857142857,2.03333333333333,8,8,197,52.6681818181818,0.485381818181817,210,0.219909353649173,-0.0277229506180504,-0.00342475586401214,-0.00389708602709556,-0.894591298550944
"25",25,"23fx2n0v",0.933333333333333,1.22380952380952,155,155,54,65.8318181818182,0.906618181818183,210,1.05572437860876,-0.158418918778193,-0.0740144505384668,-0.141605130269772,-1.04159869090502
"26",26,"eqca3bl9",2.53333333333333,1.62857142857143,7,7,167,41.5545454545455,0.129745454545456,210,0.27506992280046,0.0484097005008117,-0.0137805024607381,0.00574562566967571,-1.88672950376251
"27",27,"6ktxvhv6",2.22857142857143,2.08095238095238,5,5,205,51.740909090909,0.455709090909088,210,0.496217630771787,-0.0735736641916985,-0.024035696657787,-0.052771942510053,-1.454215958767
"28",28,"0vry5ube",2.27142857142857,2.6,35,35,169,58.0454545454546,0.657454545454548,210,0.201245905017468,-0.0935036340647001,-0.00410720183264104,0.0030055811371862,-0.308696313938221
"29",29,"xdd8fo9z",3.30952380952381,2.72380952380952,4,4,196,46.8772727272726,0.300072727272723,210,0.979822486879218,-0.315704050926124,-0.197580465174703,-0.274395155333629,-0.967105749473924
"30",30,"wkbe3ber",1.90952380952381,1.98571428571429,13,13,189,48.9727272727272,0.36712727272727,210,1.05969257256796,-0.31847989416573,-0.18436857268229,-0.275877662428545,-1.54970783637331
"31",31,"l8ysv03y",2.16666666666667,1.75238095238095,7,7,197,49.2909090909092,0.377309090909094,210,0.605125423214972,-0.104174839511486,-0.0506334603853492,-0.0899189394543318,-0.739134807123699
"32",32,"qs8ywncu",2.4047619047619,2.34285714285714,6,6,198,50.6545454545454,0.420945454545453,210,1.28880134400967,-0.253503115873188,-0.205100278799887,-0.256089562605375,-1.75345690525137
"33",33,"0scns8fh",1.43333333333333,1.5047619047619,89,89,109,46.2772727272726,0.280872727272723,210,0.943143082104052,-0.107277632084411,-0.0461233621536802,-0.0610623192196563,-1.29108217230386
"34",34,"tl83w2xc",2.68571428571429,2.36666666666667,0,0,210,55.8045454545454,0.585745454545453,210,1.10251242883773,-0.442979443365148,-0.266236902492355,-0.307598568683688,-1.39649225538388
"35",35,"hzwr2bmw",2.32380952380952,2.05238095238095,109,109,98,51.4409090909092,0.446109090909095,210,0.911666821467398,-0.318982447701603,-0.210397417850759,-0.22876295157309,-1.67546897611068
"36",36,"gj6jtxzq",2.35238095238095,2.07142857142857,6,6,197,52.75,0.488,210,0.17879561099179,-0.083979259943003,-0.00419366676447007,-0.00226617144637273,-1.36658721101705
"37",37,"2z7pz06e",2.68571428571429,3.28571428571429,7,7,202,49.7727272727272,0.39272727272727,210,0.914977547469414,-0.28067387711773,-0.205521572337424,-0.252039471319485,-2.23865713765318
"38",38,"pkup4jsd",2.41904761904762,2.66190476190476,3,3,204,54.5181818181816,0.544581818181811,210,0.536027756595972,-0.210287796496368,-0.156853405090768,-0.229436097735566,-1.04119385631469
"39",39,"uj6zfcm0",2.85238095238095,2.73809523809524,10,10,197,53.9454545454546,0.526254545454547,210,0.80880938117044,-0.124674601341882,-0.0850474430781264,-0.135268627023246,-1.85845558920568
"40",40,"1n75pw58",1.54761904761905,1.55238095238095,1,1,206,48.7636363636364,0.360436363636365,210,0.04820656836868,0.0944539824747595,0.00892294448809645,0.011053440375042,-1.39010638312107
"41",41,"tcd29yg9",2.63809523809524,2.60952380952381,7,7,181,53.0090909090911,0.496290909090915,210,0.158939146937045,-0.0488582649867696,-0.0129039646215588,-0.00513919510552115,-1.71338655846501
"42",42,"a8ps9sdf",3.24285714285714,0.69047619047619,68,68,36,37.1909090909092,0,210,-0.148252691311095,-0.0805511117375574,-0.0196058978243286,-0.00265273630048089,-1.01582518270579
"43",43,"9fztwznf",2.3047619047619,2.21904761904762,70,70,131,53.5454545454546,0.513454545454547,210,0.415608487631357,-0.0343045803689858,-0.0241090708150926,-0.00535286415305297,-1.55532661984627
"44",44,"s6mhm6ft",2.73809523809524,3.5047619047619,4,4,205,55.1318181818182,0.564218181818182,210,0.273132660094567,0.00694963136825555,-0.0133005977123759,-0.0109276198942099,-1.90105909225947
"45",45,"2xmlbgk1",2.72857142857143,2.98095238095238,7,7,201,47.9818181818182,0.335418181818183,210,0.387684786336336,-0.0934429718327407,-0.0146315808114677,-0.00891629616907004,-1.82147520852005
"46",46,"dvve9pgf",2.05714285714286,2.55714285714286,92,92,118,59.5818181818182,0.706618181818182,210,0.0861146213271606,-0.0753777523323789,-0.0249952034877393,-0.00411097098584233,-0.630879317058351
"47",47,"n23x07jd",2.24285714285714,1.84761904761905,1,1,207,48.6227272727273,0.355927272727274,210,0.797677907093544,-0.361614465485713,-0.221478335437789,-0.261318301333718,-1.44688188807982
"48",48,"mte6huys",0.847619047619048,0.957142857142857,132,132,76,58.5545454545456,0.673745454545459,210,0.731659640940175,-0.104906045371923,-0.0755334672740592,-0.122144695626695,-0.949916799363347
"49",49,"1fzhpzza",3.14761904761905,3.2047619047619,11,11,190,49.7909090909089,0.393309090909085,210,-0.0773473705973732,0.153870598743675,0.00765935333952385,0.0218585190240009,-1.37438198397487
"50",50,"rnrzj41w",3.67619047619048,2.90952380952381,4,4,202,51.6318181818182,0.452218181818182,210,0.564866634596912,-0.0493233294799858,-0.0210449569257314,-0.00804456495951181,-1.79953608885959
"51",51,"rvya0qp8",1.85714285714286,1.94285714285714,1,1,208,49.8727272727273,0.395927272727274,210,0.702434288223943,-0.166973367816958,-0.127604390151797,-0.123093253304041,-0.703471755767077
"52",52,"5l05oj47",2.2,0.280952380952381,128,128,13,34.7090909090907,0,210,0.504272085570535,0.0663591252331312,0.00400624905858796,0.0062289989692956,-2.06296837509709
