"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"16",16,"2f00cejq",48.7590909090908,70,44,0.540436363636359,2.46835095238095,2.7158080952381,109,109,101,210,0.304191503650041,-0.392722499327261,-0.100832699059518,-0.0846235534545806,-0.828745516434866
"17",17,"qol84cpr",51.3272727272729,51,37,0.663709090909099,0.762769523809524,1.03745476190476,174,172,36,210,0.0567608893015126,-0.136523460633108,-0.000584740497642372,-0.00185359613217229,-0.0580936107336074
"18",18,"on95gvhw",47.8681818181817,77,54,0.497672727272721,1.96757904761905,2.21603380952381,121,110,89,210,0.290709744419289,-0.134594353464545,-0.0926699746293022,-0.0854905885081727,-1.27563109204673
"19",19,"ez5nwule",53.1545454545456,70,52,0.751418181818189,0.972148571428571,1.32941952380952,150,150,60,210,0.984950848979275,-0.296152966931449,-0.284330779046011,-0.279814820363449,-1.37088455449723
"20",20,"bhk2nvdy",52.1772727272728,18,12,0.704509090909095,0.867990952380952,1.35681571428571,175,175,35,210,0.368296799288234,-0.356837529454553,-0.183104207113948,-0.20528803058175,-0.78287979185997
"21",21,"z978tvl5",51.5363636363637,46,37,0.673745454545458,2.00261095238095,2.19734333333333,120,118,90,210,0.662709447431309,-0.23027870316108,-0.124356320070171,-0.223966818311538,-1.19686878285794
"22",22,"6fu1vnrn",48.0681818181817,65,48,0.507272727272722,1.22153666666667,2.44551476190476,149,147,61,210,0.348060805597326,-0.21370445487902,-0.108046429773174,-0.0628994473990007,-0.704529762420426
"23",23,"o3y9yzef",52.8045454545454,71,53,0.734618181818179,2.12369571428571,2.75170761904762,113,112,97,210,0.718031375310112,-0.59898259402405,-0.237552559346601,-0.202115552589148,-0.604869280170796
"24",24,"0pgnsg7b",47.9727272727272,45,28,0.502690909090905,2.61156619047619,3.0363919047619,108,100,102,210,0.0734053425399378,-0.128467690021789,0.00536419184594278,-0.0397920428137036,-0.354155950748872
"25",25,"u4h0rknc",44.0136363636364,18,12,0.312654545454547,1.19191238095238,1.60035476190476,172,166,38,210,0.165048119476159,-0.248546098078084,-0.0294196657940163,-0.0162816826167125,-0.740287538314134
"26",26,"bbcfhwnz",49.0000000000001,10,7,0.552000000000005,0.481524285714286,0.609493809523809,195,195,15,210,0.775086562741046,-0.0536527765409022,-0.00498814652938287,-0.0615928678572168,-1.03157826539277
"27",27,"6gzo3kny",51.1909090909092,44,37,0.657163636363642,1.5203319047619,1.62662380952381,146,145,64,210,0.96326124899566,-0.278841470157385,-0.210333725517669,-0.215288286769874,-1.33990616371063
"28",28,"3tyq8bzq",35.8590909090909,104,81,0,5.83269380952381,4.81448333333333,20,4,190,210,0.662322339700792,-0.683188244527543,-0.24064699818057,-0.210092187270132,-1.26421221748076
"29",29,"23fx2n0v",54.1227272727273,16,15,0.797890909090911,1.05209904761905,1.28086047619048,166,166,44,210,0.681814532534884,-0.213508088592381,-0.167432506487945,-0.151334190346274,-1.2226021387297
"30",30,"tl83w2xc",50.4636363636364,27,24,0.622254545454547,0.61161380952381,0.769458571428571,180,180,30,210,0.81203538414836,-0.321663660896475,-0.271595374860978,-0.27519716906915,-0.783848114465253
"31",31,"0a6a9q2l",52.7818181818181,29,24,0.733527272727269,1.59253238095238,2.09382904761905,139,139,71,210,0.658739765393121,-0.33774418234758,-0.263329102566465,-0.263382509981839,-0.945597911676245
"32",32,"hzwr2bmw",37.8545454545453,48,31,0.0170181818181747,4.13148714285714,3.64350761904762,96,41,114,210,0.26044628613628,-0.26619935628691,-0.0932804037974124,-0.0965664676514802,-0.400120805666162
"33",33,"gj6jtxzq",54.5818181818183,27,16,0.819927272727279,0.861933809523809,1.0514680952381,175,175,35,210,0.764877490105712,-0.416315564580616,-0.284719172502644,-0.2627524918593,-1.13093541976875
"34",34,"2z7pz06e",44.3772727272728,9,8,0.330109090909094,1.37907571428571,1.7553619047619,183,169,27,210,0.683834892206826,-0.388639114109383,-0.249446310682751,-0.220603613102631,-1.13065974160541
"35",35,"6ktxvhv6",44.2090909090909,12,6,0.322036363636363,0.910617142857143,1.27566238095238,182,181,28,210,0.620310347834301,-0.295128900914815,-0.201988201798277,-0.218873303660388,-0.552089324659317
"36",36,"eqca3bl9",36.5,40,35,0,4.60249523809524,4.11612523809524,79,18,131,210,0.676201608709499,-0.553215347750327,-0.261316973014698,-0.23912774814529,-1.02371172002918
"37",37,"97ocjb6n",42.1318181818182,126,87,0.222327272727274,4.50410571428571,4.37334095238095,4,2,206,210,0.850657826221669,-0.286375089932431,-0.262158979016236,-0.278777881348692,-1.57343994436303
"38",38,"0vry5ube",39.559090909091,71,45,0.0988363636363681,1.60842571428571,2.07632095238095,150,117,60,210,0.822371471840108,-0.468318093193762,-0.287449539635839,-0.280738535626372,-1.34416929598484
"39",39,"s6mhm6ft",44.4590909090909,9,9,0.334036363636363,1.29298476190476,1.63348952380952,167,160,43,210,0.860341335921127,-0.172641429467603,-0.162044941508925,-0.188390658985608,-1.1282512616335
"40",40,"xdd8fo9z",48.7045454545454,62,34,0.537818181818179,0.923291904761905,1.2973119047619,171,166,39,210,0.720741639946543,-0.177355349661705,-0.201643532860028,-0.202522464499527,-1.32917104555323
"41",41,"0scns8fh",49.0818181818182,30,18,0.555927272727274,1.03466333333333,1.01101904761905,187,150,23,210,0.960257845291061,-0.291279928564914,-0.176714714294869,-0.230812830677177,-0.909109022188316
"42",42,"tcd29yg9",46.2863636363637,31,20,0.421745454545458,0.655896190476191,0.707653333333333,184,181,26,210,0.177730823597794,0.0402428271203261,-0.00161534274097294,-0.0013197892126203,-0.908086988084155
"43",43,"wkbe3ber",39.0454545454546,101,63,0.0741818181818208,4.58890571428571,4.61875095238095,50,16,160,210,0.474448974333891,-0.350919246712214,-0.180963711428168,-0.176952335811812,-0.852245283356309
"44",44,"a8ps9sdf",32.4136363636365,15,13,0,0.580764285714286,0.19670619047619,206,189,4,210,0.935988458823575,-0.325550880612444,-0.277138311591496,-0.293030890813933,-1.35237956103465
"45",45,"qs8ywncu",45.559090909091,110,88,0.386836363636368,3.39053523809524,3.94015904761905,53,44,157,210,1.32139205032471,-0.485661273912188,-0.341314487360648,-0.351711328319974,-1.08016232280072
"46",46,"1n75pw58",52.5681818181817,20,16,0.723272727272722,1.11716380952381,1.47911952380952,169,168,41,210,0.912183856136375,-0.285716093560478,-0.23338424896513,-0.209133190001994,-1.27604244156109
"47",47,"l8ysv03y",39.1954545454544,139,95,0.0813818181818111,4.7690919047619,4.80911,16,5,194,210,0.591129493838225,-0.206131448598618,-0.0670898113394234,-0.13571239904033,-0.645431936440937
"48",48,"pkup4jsd",43.3000000000001,70,50,0.278400000000005,2.04820857142857,2.29605476190476,114,112,96,210,0.634062199142993,-0.185580044256264,-0.112816586674452,-0.124524381372379,-0.701841902566562
"49",49,"9fztwznf",48.8681818181819,124,68,0.545672727272731,2.74933285714286,3.04662619047619,96,77,114,210,0.612821373863193,-0.38693230629679,-0.26178934475696,-0.245954779561165,-0.675755565922378
"50",50,"uj6zfcm0",59.0590909090909,42,33,1.03483636363636,0.930165238095238,1.19692142857143,160,160,50,210,0.501712723070167,-0.209021098430402,-0.152294894135757,-0.147932520772648,-1.315886910119
"51",51,"dvve9pgf",48.4318181818182,88,74,0.524727272727274,2.79107714285714,3.40499047619048,88,87,122,210,0.564295308178057,-0.228938312812093,-0.104999314385559,-0.124054034470782,-0.691758195158838
"52",52,"2xmlbgk1",45.6318181818181,85,69,0.390327272727269,3.09018761904762,3.38357142857143,92,57,118,210,0.875147463083445,-0.211042177064724,-0.184874559641326,-0.180872642501105,-1.10443825217773
